id,date,title,location,region,country,latitude,longitude,layer,layer_label,category,actor,status,confidence,precision,summary,source,source_url,source_system,language
media_1eca1ee5cb5f5176,2026-09-02,Région de Bandiagara : un cri d’alarme de la jeunesse face à la recrudescence des attaques terroristes,Bandiagara,Mopti,Mali,14.35,-3.61,event,Signal médiatique,sécurité,À vérifier,Signal médiatique — vérification requise,moyenne,centre de localité approximatif,"La Commission nationale de la jeunesse Ginna Dogon a tiré la sonnette d’alarme ce mardi, dénonçant avec force la vague d’attaques terroristes meurtrières qui frappent plusieurs villages de la région de Bandiagara.",Malijet,https://malijet.com/actualte_dans_les_regions_du_mali/311591-region-de-bandiagara-un-cri-dalarme-de-la-jeunesse-face-a.html,Malijet,fr
media_02a42c07ba71f521,2026-09-02,Nouakchott : Des soupçons de défaillance technique planent sur les postes de la SOMELEC,Nouakchott,Mauritanie,Mauritanie,18.086,-15.979,event,Signal médiatique,autre,À vérifier,Signal médiatique — vérification requise,faible,centre de localité approximatif,Nouakchott : Des soupçons de défaillance technique planent sur les postes de la SOMELEC senalioune,senalioune,https://news.google.com/rss/articles/CBMirgFBVV95cUxPOFM5U0ZzdkpTWlZRTHowUUJRdm10NWRPQVR4WjVSX2QtWUNiZlpFN3VLdkVVdGh1Z0prR0tvTDJuSW1KU3RyU3VaR3RWbEJLX0lsUTVlLU9GX1h6Y2hWZG04ckRxbVMzVEM3Y0xyVE12bkZmcXUyWWN3TVlRQWFIUTFOaS1ud2FqQ0JuNDN5ZUhvSHRfaTZ3dDlTNXhFX2xuQ0s3MVRBS3U4UVZYdVE?oc=5,Google Actualités — Mauritanie,fr
media_8cba06aeaf0acf26,2026-09-02,Niger. Des milliers de personnes rassemblées à Niamey pour soutenir le régime militaire,Niamey,Niamey,Niger,13.514,2.11,event,Signal médiatique,sécurité,À vérifier,Signal médiatique — vérification requise,faible,centre de localité approximatif,Niger. Des milliers de personnes rassemblées à Niamey pour soutenir le régime militaire africaradio.com,africaradio.com,https://news.google.com/rss/articles/CBMiywFBVV95cUxNSlJtRG01aUw1eWU2RU5zUlEydEZVNVFNeEhqMG53Qk4wQWZPcVJ0NG1jRFliRHZ3Z2lCTm4xVEdKb1JFWkNlUExoaFpObWhzT0hTZTdJVHFsV0Q2LU1xMG1zVUFPdFFOTk54eTF4MU9fSWctWWpNSlh4LWwza09IaEdhaEFXcl9KMjlTZ2xtVUZJMVU1V08ybVlQX1g4bXJFc3VQeFVNVFBxQVRuQm5vVjdIRTlRakNUcGxhYnR4RWR0OWM2RjBCWUFhdw?oc=5,Google Actualités — Niger,fr
media_6981e586a0d91e26,2026-09-02,Niger failed coup is a warning to the Sahel military rulers : those with power must keep their promises,Niger — lieu à confirmer,Niger,Niger,,,event,Signal médiatique,sécurité,À vérifier,Signal médiatique — vérification requise,faible,non géolocalisé,Niger failed coup is a warning to the Sahel military rulers : those with power must keep their promises,theconversation.com,https://theconversation.com/nigers-failed-coup-is-a-warning-to-the-sahels-military-rulers-those-with-power-must-keep-their-promises-290867,GDELT DOC 2.0,English
media_757b453b1d217d72,2026-09-02,"Niger : deux poids , deux mesures dans lhommage aux soldats morts",Niger — lieu à confirmer,Niger,Niger,,,event,Signal médiatique,sécurité,À vérifier,Signal médiatique — vérification requise,faible,non géolocalisé,"Niger : deux poids , deux mesures dans lhommage aux soldats morts",planeteafrique.com,https://planeteafrique.com/Niger/index.asp?affiche=News_Display.asp&articleID=17580,GDELT DOC 2.0,French
media_6c5e0637326a8dc1,2026-09-02,"Natation : Imann Firdaous Kouraogo, de l'amour pour l'eau aux podiums africains",Burkina Faso — lieu à confirmer,Burkina Faso,Burkina Faso,,,event,Signal médiatique,sécurité,À vérifier,Signal médiatique — vérification requise,faible,non géolocalisé,"À seulement 20 ans, Imann Firdaous Kouraogo s'impose comme l'une des figures montantes de la natation burkinabè. Au 11ᵉ championnat d'Afrique de natation de la Zone 2, disputé du 28 au 29 août 2026, la jeune nageuse a frappé fort en décrochant deux médailles d'or sur 800 m et 400 m nage libre. Une nouvelle étape dans le parcours d'une athlète dont…",LeFaso.net,https://lefaso.net/spip.php?article148974=,LeFaso.net,fr
media_de9538404b5cd57d,2026-09-02,Mutinerie déjouée au Niger: des milliers de personnes rassemblées à Niamey pour soutenir Tiani,Niamey,Niamey,Niger,13.514,2.11,event,Signal médiatique,autre,À vérifier,Signal médiatique — vérification requise,faible,centre de localité approximatif,Mutinerie déjouée au Niger: des milliers de personnes rassemblées à Niamey pour soutenir Tiani tv5monde,tv5monde,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOUHJRdlRab044UEFJMG1YY3VSXzFKRmRsX21xNGZ0d2FkQVZHb053bUZmUVhMWWxzYlZRNmZubWJEZGJDS2d4c29qczItbXNRZF96ZnBDd2NGdlRiYjhqNUpCVS1HZ2laemNLU2VGMnlmN0stbHplcHUzU1BYNnhsT3Z1akRwTXpNS0hER2otNUVWMG5mRFpkTGlGeEJTa1A2cW1pUlh4MEZZV0tqVHQ1UkN3TkhacXFVeFNYVFJjaGpraDBUdTJYUDdWamVxQUN0RWhmU0hzYw?oc=5,Google Actualités — Niger,fr
media_0715c5932400b157,2026-09-02,Mopti : les forces maliennes et Africa Corps intensifient les opérations de surveillance,Mopti,Mopti,Mali,14.484,-4.183,event,Signal médiatique,autre,FAMa / État malien,Signal médiatique — vérification requise,faible,centre de localité approximatif,"Dans la région de Mopti, les Forces armées maliennes (FAMa) et leurs partenaires d’Africa Corps intensifient les opérations de recherche et de renseignement contre les groupes armés terroristes.Selon des informations relayées par Africa Corps, une opération conjointe menée par des éléments d’Africa...",Malijet,https://malijet.com/actualte_dans_les_regions_du_mali/311596-mopti-les-forces-maliennes-et-africa-corps-intensifient-le.html,Malijet,fr
media_76ce978631294505,2026-09-02,Mali : les jihadistes du Jnim lèvent leur blocus sur la ville de Léré,Mali — lieu à confirmer,Mali,Mali,,,event,Signal médiatique,sécurité,JNIM / GSIM,Signal médiatique — vérification requise,faible,non géolocalisé,Mali : les jihadistes du Jnim lèvent leur blocus sur la ville de Léré,cridem.org,http://www.cridem.org/C_Info.php?article=796196,GDELT DOC 2.0,French
media_8a834af2ac96860e,2026-09-02,Mali : le JNIM annonce la fin du blocus de Léré après près d’un an,Mali — lieu à confirmer,Mali,Mali,,,event,Signal médiatique,sécurité,JNIM / GSIM,Signal médiatique — vérification requise,faible,non géolocalisé,Mali : le JNIM annonce la fin du blocus de Léré après près d’un an Afrik,Afrik,https://news.google.com/rss/articles/CBMijwFBVV95cUxNSzJlQ1hPR3pOOHEzeDVCVndSU3I2b2pYb29ETlJHcHZtdTlMblFudnlXVTE2aWpFRGlrN2JPeWJnY1FaOUp5UTdVbHB0ZXdPRU1CMmhVR1RsWF9JeWZWZEtuMFRVdS1hUDNDbHpMUk5XUkE2Z1NnTU4xRTlULVEyZ3pfU1ZrMXJYenUwOTVxVQ?oc=5,Google Actualités — Mali,fr
