date,title,source_system,source,domain,language,matched_place,country,latitude,longitude,category,relevance_score,summary,url,status
2026-09-04,UN Sudan Probe Says Foreign Fighters Fueling Conflict,GDELT DOC 2.0,english.aawsat.com,english.aawsat.com,English,,,,,sécurité,3,UN Sudan Probe Says Foreign Fighters Fueling Conflict,https://english.aawsat.com/arab-world/5314535-uns-sudan-probe-says-foreign-fighters-fueling-conflict,embargo-delay
2026-09-04,قناة النيل للأخبار | الزمالك يبدأ مشواره فى دورى أبطال أفريقيا بمواجهة بطل جيبوتى الليلة,GDELT DOC 2.0,nile.eg,www.nile.eg,Arabic,,,,,autre,1,قناة النيل للأخبار | الزمالك يبدأ مشواره فى دورى أبطال أفريقيا بمواجهة بطل جيبوتى الليلة,https://www.nile.eg/%D8%A7%D9%84%D8%B2%D9%85%D8%A7%D9%84%D9%83-%D9%8A%D8%A8%D8%AF%D8%A3-%D9%85%D8%B4%D9%88%D8%A7%D8%B1%D9%87-%D9%81%D9%89-%D8%AF%D9%88%D8%B1%D9%89-%D8%A3%D8%A8%D8%B7%D8%A7%D9%84-%D8%A3%D9%81%D8%B1%D9%8A,embargo-delay
2026-09-04,Afrique : Revue de presse de lAfrique Francophone du 04 septembre 2026,GDELT DOC 2.0,fr.allafrica.com,fr.allafrica.com,French,,,,,autre,1,Afrique : Revue de presse de lAfrique Francophone du 04 septembre 2026,https://fr.allafrica.com/stories/202609040139.html,embargo-delay
2026-09-04,Latest grand jury report : 28 people were indicted in Butler and Warren counties,GDELT DOC 2.0,journal-news.com,www.journal-news.com,English,,,,,autre,1,Latest grand jury report : 28 people were indicted in Butler and Warren counties,https://www.journal-news.com/local/latest-grand-jury-report-28-people-were-indicted-in-butler-and-warren-counties/article_0952c1bf-6a2a-5f24-b4cb-b7c206660c5b.html,embargo-delay
2026-09-04,Qaramada Midoobay oo sheegtay in dagaal - yahanno shisheeye ay huriyaan dagaalka Suudaan iyagoo sii maraya dalal ay Soomaaliya ka mid tahay,GDELT DOC 2.0,bbc.com,www.bbc.com,Somali,,,,,autre,1,Qaramada Midoobay oo sheegtay in dagaal - yahanno shisheeye ay huriyaan dagaalka Suudaan iyagoo sii maraya dalal ay Soomaaliya ka mid tahay,https://www.bbc.com/somali/articles/cj4j5ln9pw2o,embargo-delay
2026-09-04,Nigeria : Three Years of Nuhu Ribadu As National Security Adviser,GDELT DOC 2.0,allafrica.com,allafrica.com,English,,,,,sécurité,3,Nigeria : Three Years of Nuhu Ribadu As National Security Adviser,https://allafrica.com/stories/202609040112.html,embargo-delay
2026-09-04,Somalia oo lagu daray dalalka laga weeraray Suudaan .,GDELT DOC 2.0,horseedmedia.net,horseedmedia.net,Somali,,,,,autre,1,Somalia oo lagu daray dalalka laga weeraray Suudaan .,https://horseedmedia.net/somalia-oo-lagu-daray-dalalka-laga-weeraray-suudaan/425350/,embargo-delay
2026-09-04,"Mali : 66,4 millions de litres de carburant acheminés en une semaine",Bamada,Bamada,bamada.net,fr,Bamako,Mali,12.609,-7.975,autre,4,"Quelque 1 453 camions-citernes ont approvisionné le Mali entre le 24 et le 30 août. Le volume annoncé dépasse de plus du double celui enregistré au cours d’une semaine de juin, sur des axes commerciaux toujours exposés aux risques sécuritaires. APA-Bamako (Mali) – Le Mali a enregistré 66,38 millions de...",https://bamada.net/mali-664-millions-de-litres-de-carburant-achemines-en-une-semaine,embargo-delay
2026-09-04,Série Iyad ag Ghali ( 4 / 5 ). Lappel du djihad,GDELT DOC 2.0,mondafrique.com,mondafrique.com,French,,,,,autre,1,Série Iyad ag Ghali ( 4 / 5 ). Lappel du djihad,https://mondafrique.com/politique/serie-iyad-ag-ghali-4-5-lappel-du-djihad/,embargo-delay
2026-09-04,Larmée de lair algérienne renforce sa présence en Afrique centrale avec le déploiement de chasseurs Su - 30MKA au Niger,GDELT DOC 2.0,afrique-asie.fr,www.afrique-asie.fr,French,,Niger,,,autre,3,Larmée de lair algérienne renforce sa présence en Afrique centrale avec le déploiement de chasseurs Su - 30MKA au Niger,https://www.afrique-asie.fr/larmee-de-lair-algerienne-renforce-sa-presence-en-afrique-centrale-avec-le-deploiement-de-chasseurs-su-30mka-au-niger/,embargo-delay
2026-09-04,Veteran Dayne Zorko says Brisbane Lions not underestimating Sydney Swan superpower ahead of clash,GDELT DOC 2.0,afl.com.au,www.afl.com.au,English,,,,,sécurité,3,Veteran Dayne Zorko says Brisbane Lions not underestimating Sydney Swan superpower ahead of clash,https://www.afl.com.au/news/1601464/veteran-dayne-zorko-says-brisbane-lions-not-underestimating-sydney-swans-superpower-ahead-of-huge-clash,embargo-delay
2026-09-04,"Nigeria : Terrorist Attacks Declining , Security Forces Gaining Ground - Defence Minister",GDELT DOC 2.0,allafrica.com,allafrica.com,English,,,,,sécurité,3,"Nigeria : Terrorist Attacks Declining , Security Forces Gaining Ground - Defence Minister",https://allafrica.com/stories/202609040020.html,embargo-delay
2026-09-04,Lähis - Ida sõjakatla all põleb igavene tuli,GDELT DOC 2.0,sirp.ee,www.sirp.ee,Estonian,,,,,autre,1,Lähis - Ida sõjakatla all põleb igavene tuli,https://www.sirp.ee/lahis-ida-sojakatla-all-poleb-igavene-tuli/,embargo-delay
2026-09-04,What if Mali and Liel were Japanese ? Inside Japan culture of voluntary disappearanc,GDELT DOC 2.0,ynetnews.com,www.ynetnews.com,English,,Mali,,,autre,3,What if Mali and Liel were Japanese ? Inside Japan culture of voluntary disappearanc,https://www.ynetnews.com/magazine/article/s1b11hmw00fe,embargo-delay
2026-09-04,Afrique - Sahel : Moscou accuse Paris et Kiev de soutenir les djihadistes,GDELT DOC 2.0,camer.be,www.camer.be,French,,,,,autre,1,Afrique - Sahel : Moscou accuse Paris et Kiev de soutenir les djihadistes,https://www.camer.be/94603/38:36/afrique-sahel-moscou-accuse-paris-et-kiev-de-soutenir-les-djihadistes.html,embargo-delay
2026-09-04,Swans separate person from problem amid finals crisis,GDELT DOC 2.0,easternriverinachronicle.com.au,www.easternriverinachronicle.com.au,English,,,,,autre,1,Swans separate person from problem amid finals crisis,https://www.easternriverinachronicle.com.au/story/9343801/swans-separate-person-from-problem-amid-finals-crisis/,embargo-delay
2026-09-04,مالي : السجن 20 عامًا لشرطي سابق على خلفية كتاب عن الإرهاب,GDELT DOC 2.0,aqlame.com,www.aqlame.com,Arabic,,,,,autre,1,مالي : السجن 20 عامًا لشرطي سابق على خلفية كتاب عن الإرهاب,https://www.aqlame.com/node/43749,embargo-delay
2026-09-04,"Qui sont ces Français qui ont laissé leur nom à des rues au Sénégal ? - Au Sénégal , le cœur du Sénégal",GDELT DOC 2.0,au-senegal.com,www.au-senegal.com,French,,,,,autre,1,"Qui sont ces Français qui ont laissé leur nom à des rues au Sénégal ? - Au Sénégal , le cœur du Sénégal","https://www.au-senegal.com/qui-sont-ces-francais-qui-ont-laisse-leur-nom-a-des-rues-au-senegal,9114.html",embargo-delay
2026-09-04,ورطة جديدة تلاحق بدر هاري في هولندا بسبب طليقته .. والدفاع ينفي الاتهامات,GDELT DOC 2.0,akhbarona.com,www.akhbarona.com,Arabic,,,,,autre,1,ورطة جديدة تلاحق بدر هاري في هولندا بسبب طليقته .. والدفاع ينفي الاتهامات,https://www.akhbarona.com/society/431887.html,embargo-delay
2026-09-04,Maine high court says father can prevent daughter from attending mother church – Catholic World Report,GDELT DOC 2.0,catholicworldreport.com,www.catholicworldreport.com,English,,,,,autre,1,Maine high court says father can prevent daughter from attending mother church – Catholic World Report,https://www.catholicworldreport.com/2026/09/03/maine-high-court-says-father-can-prevent-daughter-from-attending-mothers-church/,embargo-delay
2026-09-04,"В Стамбуле ликвидировали боевика ИГ *, подозреваемого в подготовке теракта",GDELT DOC 2.0,life.ru,life.ru,Russian,,,,,autre,1,"В Стамбуле ликвидировали боевика ИГ *, подозреваемого в подготовке теракта",https://life.ru/p/v-stambule-likvidirovali-boevika-ig-podozrevaemogo-v-podgotovke-terakta,embargo-delay
2026-09-04,Court says hundreds of Walbran Valley trees spiked as blockade injunction extended,GDELT DOC 2.0,lethbridgeherald.com,lethbridgeherald.com,English,,,,,sécurité,3,Court says hundreds of Walbran Valley trees spiked as blockade injunction extended,https://lethbridgeherald.com/news/national-news/2026/09/03/court-says-hundreds-of-walbran-valley-trees-spiked-as-blockade-injunction-extended/,embargo-delay
2026-09-04,THREE YEARS OF NUHU RIBADU AS NATIONAL SECURITY ADVISER – THISDAYLIVE,GDELT DOC 2.0,thisdaylive.com,www.thisdaylive.com,English,,,,,sécurité,3,THREE YEARS OF NUHU RIBADU AS NATIONAL SECURITY ADVISER – THISDAYLIVE,https://www.thisdaylive.com/2026/09/04/three-years-of-nuhu-ribadu-as-national-security-adviser/,embargo-delay
2026-09-04,"Soudan : lONU pointe lutilisation du territoire tchadien , NDjamena rejette toute implication",GDELT DOC 2.0,alwihdainfo.com,www.alwihdainfo.com,French,,Tchad,,,autre,3,"Soudan : lONU pointe lutilisation du territoire tchadien , NDjamena rejette toute implication",https://www.alwihdainfo.com/soudan-lonu-pointe-lutilisation-du-territoire-tchadien-ndjamena-rejette-toute-implication/,embargo-delay
2026-09-04,Tchad - Province du Lac : démenti formel après des accusations sur la présence de mutins nigériens,GDELT DOC 2.0,alwihdainfo.com,www.alwihdainfo.com,French,,Tchad,,,autre,3,Tchad - Province du Lac : démenti formel après des accusations sur la présence de mutins nigériens,https://www.alwihdainfo.com/tchad-province-du-lac-dementi-formel-apres-des-accusations-sur-la-presence-de-mutins-nigeriens/,embargo-delay
2026-09-04,"В Стамбуле ликвидировали боевика ИГ *, подозреваемого в подготовке теракта",GDELT DOC 2.0,news.mail.ru,news.mail.ru,Russian,,,,,autre,1,"В Стамбуле ликвидировали боевика ИГ *, подозреваемого в подготовке теракта",https://news.mail.ru/politics/72232665/,embargo-delay
2026-09-04,Niger: le Comité pour la protection des journalistes «très préoccupé par la disparition» de Moussa Kaka,RFI Afrique,© AFP - (Capture d'écran),www.rfi.fr,fr,Niamey,Niger,13.514,2.11,autre,4,"Il a raconté pendant des années l'actualité du Niger sur nos antennes. Notre confrère Moussa Kaka est porté disparu à Niamey depuis le début de la semaine. Le journaliste et directeur de la Radiotélévision Saraounia a été vu pour la dernière fois le 31 août vers 19h, quand il quittait les locaux de son média. Depuis, plus aucune trace de lui, une…",https://www.rfi.fr/fr/afrique/20260904-niger-le-comit%C3%A9-pour-la-protection-des-journalistes-tr%C3%A8s-pr%C3%A9occup%C3%A9-par-la-disparition-de-moussa-kaka,embargo-delay
2026-09-04,"Le débat africain - Dialogue inclusif en RDC, mutinerie au Niger et sommet de Bichkek",Google Actualités — Niger,RFI,news.google.com,fr,,Niger,,,autre,3,"Le débat africain - Dialogue inclusif en RDC, mutinerie au Niger et sommet de Bichkek RFI",https://news.google.com/rss/articles/CBMixgFBVV95cUxPVHRzRndRbWd1OS1hZlBwRS1veEdOT0RfLUR0dFRsZ0MxU0w4NEJIWU5vTFQyS3Jjb01rRUIwVVFEN1FaZXY1RXdMNm1ldjBIN3V3VTgxRVNfaDJkOG5saWg4V0Rfb3lkakhTWnNqdGdaa1JQZ0dwYjgyTl9CR2o2elByZzZMVmFXQzJfTFpNWWM4bWZselV6eWpsQmlOOGQtWkd1d2dPV0RsTDZKb2dOM0RjWlduVjdJdDk4MjRDcTBOXy1kSmc?oc=5,embargo-delay
2026-09-04,Tchad : de nouveaux déplacés après une résurgence d'attaques de Boko Haram,Google Actualités — Tchad,France 24,news.google.com,fr,,Tchad,,,sécurité,5,Tchad : de nouveaux déplacés après une résurgence d'attaques de Boko Haram France 24,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOT1pZUnJQT0Y2eWp0Q2F1NF9JaS1mQWQ3NnZfa25zak1WNG1VTTNwZ29fZG9fa2xrNk1wd1hKVHk5ajlXUmF1NzY2ZHRacFQtemRRV3ZvS1dDTmF2d3RpZmMyVVNIeWliZEE2WTlNRWItOXdQb1M3b2pVd1l5SWg5R1JTQ3dwLXg1QlN5a19jV2RXdXdUSzg3bGpqakp6OWE5WS1INklJR1U1R1Y2RGFZaFcxVll6dWZna3FGV1JnMzhJUUExbFlmU3RYTVh3TEszdDlQQWhOYw?oc=5,embargo-delay
2026-09-04,"Dans le golfe d’Aden, la piraterie somalienne refait surface",RFI Afrique,AP,www.rfi.fr,fr,,,,,autre,1,"Six navires détournés depuis la mi-avril et plus de 90 marins pris en otage : la piraterie somalienne connaît un regain dans le golfe d’Aden. On reste encore loin du pic des années 2010, mais les pirates ont changé de méthodes et profitent notamment d’un redéploiement des forces navales internationales dans la région.",https://www.rfi.fr/fr/afrique/20260904-dans-le-golfe-d-aden-la-piraterie-somalienne-refait-surface,embargo-delay
2026-09-04,RDC: Félix «Tshisekedi est parmi les seuls dirigeants africains qui soient aussi proches d'Israël»,RFI Afrique,RFI Afrique,www.rfi.fr,fr,,,,,autre,1,"C'est la lune de miel entre la République démocratique du Congo et Israël. Après la visite cette semaine de Félix Tshisekedi dans l'État hébreu, la RDC annonce qu'elle va déplacer son ambassade en Israël de Tel Aviv à Jérusalem, tandis que l'ouverture d'une ambassade israélienne à Kinshasa est à l'étude. Que cherche le président Tshisekedi en se r…",https://www.rfi.fr/fr/podcasts/le-grand-invit%C3%A9-afrique/20260904-rdc-f%C3%A9lix-tshisekedi-est-parmi-les-seuls-dirigeants-africains-qui-soit-aussi-proche-d-isra%C3%ABl,embargo-delay
2026-09-04,"Xénophobie en Afrique du Sud: à Durban, les manifestants anti-immigration continuent de mettre la pression",RFI Afrique,AFP - RAJESH JANTILAL,www.rfi.fr,fr,,,,,autre,1,"À Durban, sur la côte est sud-africaine, les manifestations anti-immigration continuent : des membres du mouvement « March and March » ont provoqué une altercation en se rendant le 3 septembre 2026 devant un campement de centaines d'étrangers. Ce groupe de différentes nationalités affirme être présent légalement dans le pays et que ses membres ont…",https://www.rfi.fr/fr/afrique/20260904-x%C3%A9nophobie-en-afrique-du-sud-%C3%A0-durban-les-manifestants-anti-immigration-continuent-de-mettre-la-pression,embargo-delay
2026-09-04,"Après douze ans de présence, Uber quitte le Nigeria et l’Ouganda",RFI Afrique,REUTERS - Sodiq Adelakun,www.rfi.fr,fr,,,,,autre,1,"Uber a annoncé mercredi 2 septembre son retrait immédiat du Nigeria et de l’Ouganda. En pleine restructuration mondiale, la plateforme de réservation de voitures avec chauffeur explique cette décision par un « examen approfondi de ses activités ». Mais elle intervient surtout alors qu’Uber a fortement perdu du terrain face à ses concurrents dans c…",https://www.rfi.fr/fr/%C3%A9conomie/20260904-apr%C3%A8s-douze-ans-de-pr%C3%A9sence-uber-quitte-le-nigeria-et-l-ouganda,embargo-delay
