"name","country","region","latitude","longitude","aliases"
"Aribinda","Burkina Faso","Sahel","14.22963","-0.86537","Arbinda"
"Bama","Burkina Faso","Boucle du Mouhoun","12.0357","-4.3987",""
"Banfora","Burkina Faso","Cascades Region","10.64064","-4.75285","Banforu|banaphora|banfwra|bang fu la|bangpola"
"Barogo","Burkina Faso","Plateau-Central","12.55","-0.96667",""
"Batié","Burkina Faso","Sud-Ouest","9.88333","-2.91667","Batie|Bat'e|Bati|baty|beti"
"Béguédo","Burkina Faso","Centre-Est","11.78083","-0.73389","Beguedo"
"Bittou","Burkina Faso","Centre-Est","11.25806","-0.30611","Bitou|Bittu"
"Bobo-Dioulasso","Burkina Faso","Hauts-Bassins","11.18064","-4.29489","Bobo Diulasas|Bobo-Diulaco shaary|Bobo-Diulaso|Bobo-Diulasso|Bobodjulaso|bo bo di wu la suo|bobo-diyolaso|bobodiullaso|bwbw dywlasw"
"Bogandé","Burkina Faso","Est","12.97711","-0.14661","Bogande|Bogunde|boganide|bwghandy|bwgndy"
"Boromo","Burkina Faso","Boucle du Mouhoun","11.74542","-2.93006","Borom|baromo|bwrwmw"
"Boulsa","Burkina Faso","Centre-Nord","12.66664","-0.57469","Boulssa|Bulsa|baulasa|burusa|bwlsa"
"Bourzanga","Burkina Faso","Centre-Nord","13.67806","-1.54611","Boulzanga|Bourzenga"
"Boussé","Burkina Faso","Plateau-Central","12.66121","-1.89515","Bousse|Busse|baus'se|bause|buse|bwsh|bwsy"
"Cinkansé","Burkina Faso","Centre-Est","11.11857","0.00993","Cinkanse"
"Dano","Burkina Faso","Sud-Ouest","11.1464","-3.05784","danw"
"Dédougou","Burkina Faso","Boucle du Mouhoun","12.4636","-3.46075","Dedougou|Dedugu|dai du gu|ddwgw|dedougu|dydwghw|dydwgw"
"Diapaga","Burkina Faso","Est","12.0729","1.78835","diyapaga|dyabgha|dyapaga"
"Diébougou","Burkina Faso","Sud-Ouest","10.96209","-3.24967","Diebougou|D'ebugu|Diebugu|di'ebaugau|di'ebogo|dibebogu|dibugu|dybwghw|dybwgw"
"Djibo","Burkina Faso","Sahel","14.09864","-1.62665","Dzhibo|Jibo|jybw"
"Dori","Burkina Faso","Sahel","14.03326","-0.03333","Doris|dari|duo li|dwry|dwry  brkyna fasw"
"Fada N'gourma","Burkina Faso","Est","12.06157","0.35843","Fada-Ngurma|fada ngwrma|fada nqwrma|fadangoruma|phada enagorama|phada n'gaurma|phada nagorama"
"Fara Department","Burkina Faso","Boucle du Mouhoun","11.52941","-2.76797","Fara"
"Gao","Burkina Faso","Centre-Ouest","11.64967","-2.17777",""
"Gaoua","Burkina Faso","Sud-Ouest","10.33137","-3.18202","Gaua|Gava|gawa|jia wa"
"Garango","Burkina Faso","Centre-Est","11.8","-0.55056","jia lang ge"
